kundennummer;firma;datum;art;netto;brutto;quelle
10091;Thermolino e.K. Samuel Lindgens;2021-09-21;INVOICE;8740.0;10400.6;lexoffice_alt
10101;W&W GebÃ¤udeautomation GmbH;2021-09-30;INVOICE;9200.0;10948.0;lexoffice_alt
10066;BPS Bucher GmbH;2021-10-04;INVOICE;1150.0;1368.5;lexoffice_alt
10103;GebrÃ¼der KÃ¶gel GmbH;2021-10-05;INVOICE;9200.0;10948.0;lexoffice_alt
10113;OSIMA Einrichtungstechnik GmbH & Co. KG;2021-10-19;INVOICE;10600.0;12614.0;lexoffice_alt
10114;GebÃ¤ude- &amp Energietechnik JÃ¶rg Dulitz GmbH;2021-10-21;INVOICE;10600.0;12614.0;lexoffice_alt
10123;Olaf Weigelt Haustechnik GmbH;2021-11-02;INVOICE;10600.0;12614.0;lexoffice_alt
10128;SchÃ¼ber Bad;2021-11-10;INVOICE;7950.0;9460.5;lexoffice_alt
10134;Fischer-J.W. Zander GmbH &amp Co.KG;2021-11-11;INVOICE;8480.0;10091.2;lexoffice_alt
10131;Heavy Haul Power International GmbH;2021-11-16;INVOICE;20600.0;24514.0;lexoffice_alt
10035;Beyler GmbH;2021-11-16;INVOICE;7400.0;8806.0;lexoffice_alt
10102;Elektro Lauffs;2021-11-21;INVOICE;9200.0;10948.0;lexoffice_alt
10139;DÃ¶bele Heizungsservice;2021-11-24;INVOICE;8800.0;10472.0;lexoffice_alt
10028;Obermaier GmbH;2021-11-25;INVOICE;-3700.0;-4403.0;lexoffice_alt
10040;Michael Seiffert SanitÃ¤r â Heizung â Klima;2021-12-21;INVOICE;3700.0;4403.0;lexoffice_alt
10150;A. Frantzen & Sohn GmbH;2021-12-28;INVOICE;10600.0;12614.0;lexoffice_alt
10008;TBO Treuhand â Beratung â Organisation GmbH WirtschaftsÂ­prÃ¼fungsÂ­gesellschaft & TBO GbR;2022-01-07;INVOICE;8480.0;10091.2;lexoffice_alt
10151;Bitten Haustechnik GmbH;2022-01-14;INVOICE;8180.000000000001;9734.2;lexoffice_alt
10012;LRT Automotive GmbH;2022-01-21;INVOICE;7632.0;9082.08;lexoffice_alt
10128;SchÃ¼ber Bad;2022-01-22;INVOICE;500.0;595.0;lexoffice_alt
10149;Shield GmbH;2022-01-24;INVOICE;5500.0;6545.0;lexoffice_alt
10160;Elektrotechnik Erich Schwarzlose GmbH;2022-01-28;INVOICE;12800.0;15232.0;lexoffice_alt
10070;KHT GmbH Koch Haustechnik;2022-01-28;INVOICE;6440.0;7663.6;lexoffice_alt
10162;Elektro Reber GmbH;2022-02-02;INVOICE;11520.0;13708.8;lexoffice_alt
10172;Rohr- und Kanalreinigung Peter GrÃ¶nninger;2022-02-22;INVOICE;10600.0;12614.0;lexoffice_alt
10173;Elteco GmbH Elektrotechnik Otten;2022-02-23;INVOICE;10600.0;12614.0;lexoffice_alt
10134;Fischer-J.W. Zander GmbH &amp Co.KG;2022-03-01;INVOICE;2800.0;3332.0;lexoffice_alt
10004;Systego UG;2022-03-02;INVOICE;1500.0;1785.0;lexoffice_alt
10044;Fred Schroeder;2022-03-11;INVOICE;4000.0;4760.0;lexoffice_alt
10149;Shield GmbH;2022-03-17;INVOICE;4500.0;5355.0;lexoffice_alt
10182;Stefan Goldbecker;2022-03-23;INVOICE;10600.0;12614.0;lexoffice_alt
10035;Beyler GmbH;2022-03-25;INVOICE;6360.0;7568.4;lexoffice_alt
10183;Optymed Apotheke;2022-03-25;INVOICE;10600.0;12614.0;lexoffice_alt
10149;SHIELD Sicherheitstechnik GmbH;2022-04-06;INVOICE;4500.0;5355.0;lexoffice_alt
